date,model,provider,field,price_usd_per_mtoken,source,source_ref
2025-12-03,claude-haiku-4-5-20251001,anthropic,input_cost_per_token,1.0,litellm-git,13db8e10
2025-12-03,claude-haiku-4-5-20251001,anthropic,output_cost_per_token,5.0,litellm-git,13db8e10
2025-12-03,claude-haiku-4-5-20251001,anthropic,cache_read_input_token_cost,0.1,litellm-git,13db8e10
2025-12-03,claude-haiku-4-5-20251001,anthropic,cache_creation_input_token_cost,1.25,litellm-git,13db8e10
2025-12-03,gpt-5,openai,input_cost_per_token,1.25,litellm-git,13db8e10
2025-12-03,gpt-5,openai,output_cost_per_token,10.0,litellm-git,13db8e10
2025-12-03,gpt-5,openai,cache_read_input_token_cost,0.125,litellm-git,13db8e10
2025-12-03,gpt-4o,openai,input_cost_per_token,2.5,litellm-git,13db8e10
2025-12-03,gpt-4o,openai,output_cost_per_token,10.0,litellm-git,13db8e10
2025-12-03,gpt-4o,openai,cache_read_input_token_cost,1.25,litellm-git,13db8e10
2025-12-03,gpt-4o,openai,input_cost_per_token_batches,1.25,litellm-git,13db8e10
2025-12-03,gpt-4o,openai,output_cost_per_token_batches,5.0,litellm-git,13db8e10
2025-12-03,o1,openai,input_cost_per_token,15.0,litellm-git,13db8e10
2025-12-03,o1,openai,output_cost_per_token,60.0,litellm-git,13db8e10
2025-12-03,o1,openai,cache_read_input_token_cost,7.5,litellm-git,13db8e10
2025-12-03,gemini-2.5-pro,vertex_ai-language-models,input_cost_per_token,1.25,litellm-git,13db8e10
2025-12-03,gemini-2.5-pro,vertex_ai-language-models,output_cost_per_token,10.0,litellm-git,13db8e10
2025-12-03,gemini-2.5-pro,vertex_ai-language-models,cache_read_input_token_cost,0.125,litellm-git,13db8e10
2025-12-03,gemini-2.5-flash,vertex_ai-language-models,input_cost_per_token,0.3,litellm-git,13db8e10
2025-12-03,gemini-2.5-flash,vertex_ai-language-models,output_cost_per_token,2.5,litellm-git,13db8e10
2025-12-03,gemini-2.5-flash,vertex_ai-language-models,cache_read_input_token_cost,0.03,litellm-git,13db8e10
2025-12-03,xai/grok-4,xai,input_cost_per_token,3.0,litellm-git,13db8e10
2025-12-03,xai/grok-4,xai,output_cost_per_token,15.0,litellm-git,13db8e10
